id,decade,Country,Year,Total.Deaths,No.Injured,No.Affected,No.Homeless,Total.Affected,Total.Damages...000.US..,CPI
1,1960-1970,Lao PDR,5903,302,0,79000,2600,81600,16580,40.65010208
2,1960-1970,Myanmar,13758,1482,200,717319,30200,747719,11700,88.30826797
3,1960-1970,Thailand,3928,775,200,2.00E+05,5000,205200,20000,24.5282697
4,1960-1970,Viet Nam,7858,8029,0,836389,70361,906750,60000,49.09238064
5,1970-1980,Lao PDR,5926,45,0,4059000,15000,4074000,200,65.06102095
6,1970-1980,Myanmar,15808,293,0,1521000,254000,1775000,11000,183.781083
7,1970-1980,Thailand,9886,485,493,5030800,0,5031293,445000,121.3049045
8,1970-1980,Viet Nam,13818,523,0,4405000,79000,4484000,0,138.9685124
9,1980-1990,Cambodia,1987,0,0,0,0,0,0,44.44423842
10,1980-1990,Lao PDR,11912,77,0,734000,0,734000,0,253.4185358
11,1980-1990,Myanmar,5946,29,0,65388,20000,85388,0,112.2693729
12,1980-1990,Thailand,21828,1385,1930,3761501,45000,3808431,1109646,447.7280405
13,1980-1990,Viet Nam,43669,4124,5894,31248216,2624860,33878970,21000,914.4332895
14,1990-2000,Cambodia,25946,1296,0,8010144,275805,8285949,252010,788.9072411
15,1990-2000,Lao PDR,29905,773,372,1868734,1.00E+06,2869106,328779,861.8531474
16,1990-2000,Myanmar,15954,186,0,552925,96169,649094,144955,466.5553017
17,1990-2000,Thailand,73799,864,671,21840291,214340,22055302,2811488,2174.566762
18,1990-2000,Viet Nam,95734,8257,2885,16170478,1092059,17265422,2629345,2810.961993
19,2000-2010,Cambodia,32074,663,144,8393550,0,8393694,214100,1213.720655
20,2000-2010,Lao PDR,18033,95,91,1395671,0,1395762,101000,667.6126922
21,2000-2010,Myanmar,28080,138880,20157,2696243,36187,2752587,4500688,1095.111853
22,2000-2010,Thailand,108208,9490,9378,28172518,41884,28223780,2101613,4021.881405
23,2000-2010,Viet Nam,164368,3533,4062,20316322,593545,20913929,5055205,6216.180239
24,2010-2020,Cambodia,20143,526,23,6653117,57950,6711090,1093000,924.3178021
25,2010-2020,Lao PDR,30230,309,77,2209570,45,2209692,356050,1411.764787
26,2010-2020,Myanmar,66503,943,503,3614059,18227,3632789,199070,3089.861734
27,2010-2020,Thailand,74524,1574,47,49099084,17254,49116385,46055161,3413.748996
28,2010-2020,Viet Nam,134995,1402,80497,17542758,309905,17933160,14172024,6244.086957
