Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1963-0008-IDN,1963,0008,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Agung,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,,,,,,,,,,,,1963,1,3,1963,1,3,1584,,78000,,78000,,,,11.97891616
1963-0066-IDN,1963,0066,Natural,Geophysical,Volcanic activity,Ash fall,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1963,5,,1963,5,,106,,,,,,,,11.97891616
1965-0093-IDN,1965,0093,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Sanana Island,,Tsunami/Tidal wave,,,,,,8,Richter,-2.608,-125.952,07:11,,1965,1,24,1965,1,24,71,,15000,,15000,,,,12.32443267
1966-9004-IDN,1966,9004,Natural,Climatological,Drought,Drought,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lombok, South",,Famine,,Yes,No,No,,,Km2,,,,,1966,1,,1966,,,8000,,204000,,204000,,,,12.69602817
1966-0041-IDN,1966,0041,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Margomlujo (East Java),,,,Yes,,,,,,,,,,1966,4,25,1966,4,25,1000,60,5000,,5060,,,,12.69602817
1966-0061-IDN,1966,0061,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Awu,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Sangi Talaud,,,,Yes,No,No,,,,,,,,1966,8,12,1966,8,12,88,2000,40000,,42000,,,,12.69602817
1966-0036-IDN,1966,0036,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Central, East Java",,,,Yes,,,,,Km2,,,,,1966,3,14,1966,3,14,176,100,524000,,524100,,,33000,12.69602817
1967-0101-IDN,1967,0101,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Makassar Strait, Tinambung (South Sulawesi)",,Tsunami/Tidal wave,,,,,,6,Richter,-3.7,119.3,12:09,,1967,4,11,1967,4,11,71,100,,,100,,,,13.04806211
1967-0102-IDN,1967,0102,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Dampit, Gondang, Trenggalek, Malang (East Java)",,,,,,,,6,Richter,-8.965,113.017,05:14,,1967,2,20,1967,2,20,54,121,,8290,8411,,,,13.04806211
1967-0007-IDN,1967,0007,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,,,,,,,,Km2,,,,,1967,1,,1967,1,,,,55000,,55000,,,,13.04806211
1967-0013-IDN,1967,0013,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,Yes,,,,,Km2,,,,,1967,1,9,1967,1,9,,,102000,40000,142000,,,,13.04806211
1967-0038-IDN,1967,0038,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Ambon,,,,,,,,,Km2,,,,,1967,6,,1967,6,,,,7000,,7000,,,,13.04806211
1967-0076-IDN,1967,0076,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Km2,,,,,1967,11,30,1967,11,30,160,,,,,,,,13.04806211
