Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Entry Criteria,Country,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),CPI
1963-0008-IDN,1963,Natural,Geophysical,Volcanic activity,Kill,Indonesia,1584,,78000,,78000,,11.97891616
1963-0066-IDN,1963,Natural,Geophysical,Volcanic activity,Kill,Indonesia,106,,,,,,11.97891616
1965-0093-IDN,1965,Natural,Geophysical,Earthquake,Kill,Indonesia,71,,15000,,15000,,12.32443267
1966-9004-IDN,1966,Natural,Climatological,Drought,,Indonesia,8000,,204000,,204000,,12.69602817
1966-0041-IDN,1966,Natural,Geophysical,Volcanic activity,Kill,Indonesia,1000,60,5000,,5060,,12.69602817
1966-0061-IDN,1966,Natural,Geophysical,Volcanic activity,Kill,Indonesia,88,2000,40000,,42000,,12.69602817
1966-0036-IDN,1966,Natural,Hydrological,Flood,Kill,Indonesia,176,100,524000,,524100,33000,12.69602817
1967-0101-IDN,1967,Natural,Geophysical,Earthquake,Kill,Indonesia,71,100,,,100,,13.04806211
1967-0102-IDN,1967,Natural,Geophysical,Earthquake,Kill,Indonesia,54,121,,8290,8411,,13.04806211
1967-0007-IDN,1967,Natural,Hydrological,Flood,Affect,Indonesia,,,55000,,55000,,13.04806211
1967-0013-IDN,1967,Natural,Hydrological,Flood,Affect,Indonesia,,,102000,40000,142000,,13.04806211
1967-0038-IDN,1967,Natural,Hydrological,Flood,Affect,Indonesia,,,7000,,7000,,13.04806211
1967-0076-IDN,1967,Natural,Hydrological,Flood,Kill,Indonesia,160,,,,,,13.04806211
1968-0064-IDN,1968,Natural,Geophysical,Earthquake,Kill,Indonesia,200,,,,,,13.60544609
1968-0003-IDN,1968,Natural,Biological,Epidemic,Kill,Indonesia,40,,94,,94,,13.60544609
1968-0038-IDN,1968,Natural,Hydrological,Flood,Kill,Indonesia,12,,150000,,150000,7831,13.60544609
1969-0052-IDN,1969,Natural,Geophysical,Earthquake,Kill,Indonesia,64,97,,6435,6532,,14.34862782
1969-0014-IDN,1969,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,250000,,250000,200,14.34862782
1970-0129-IDN,1970,Natural,Hydrological,Flood,Kill,Indonesia,82,,,,,,15.18633546
1972-9131-IDN,1972,Natural,Climatological,Drought,,Indonesia,,,3500000,,3500000,70000,16.35652475
1973-0028-IDN,1973,Natural,Meteorological,Storm,Kill,Indonesia,1650,,,,,,17.36698602
1974-0002-IDN,1974,Natural,Meteorological,Storm,Kill,Indonesia,10,,2000,,2000,,19.28687447
1976-0043-IDN,1976,Natural,Geophysical,Earthquake,Kill,Indonesia,420,,15000,,15000,25000,22.25960139
1976-0047-IDN,1976,Natural,Geophysical,Earthquake,Kill,Indonesia,573,4755,450000,,454755,195000,22.25960139
1976-0071-IDN,1976,Natural,Geophysical,Earthquake,Kill,Indonesia,133,,7000,,7000,,22.25960139
1976-0171-IDN,1976,Natural,Geophysical,Volcanic activity,Kill,Indonesia,40,,,,,,22.25960139
1976-0073-IDN,1976,Natural,Hydrological,Flood,Kill,Indonesia,163,20,20000,,20020,,22.25960139
1976-0188-IDN,1976,Natural,Meteorological,Storm,Kill,Indonesia,25,,,,,,22.25960139
1977-0106-IDN,1977,Natural,Geophysical,Earthquake,Kill,Indonesia,185,75,3900,,3975,1200,23.706851
1977-0251-IDN,1977,Natural,Geophysical,Earthquake,OFDA,Indonesia,2,25,,,25,,23.706851
1977-0091-IDN,1977,Natural,Meteorological,Storm,Affect,Indonesia,1,60,3000,,3060,,23.706851
1977-0013-IDN,1977,Natural,Biological,Epidemic,Kill,Indonesia,37,,29942,,29942,,23.706851
1977-0138-IDN,1977,Natural,Biological,Epidemic,Kill,Indonesia,80,,,,,,23.706851
1977-0014-IDN,1977,Natural,Hydrological,Flood,Kill,Indonesia,10,,260000,,260000,,23.706851
1977-0043-IDN,1977,Natural,Hydrological,Flood,Affect,Indonesia,,,25000,,25000,,23.706851
1977-0046-IDN,1977,Natural,Hydrological,Flood,Kill,Indonesia,12,,5000,,5000,,23.706851
1978-0038-IDN,1978,Natural,Biological,Epidemic,Kill,Indonesia,82,,,,,,25.51591532
1978-0088-IDN,1978,Natural,Biological,Epidemic,Kill,Indonesia,11,,70,,70,,25.51591532
1978-0014-IDN,1978,Natural,Hydrological,Flood,Kill,Indonesia,41,,7000,,7000,,25.51591532
1978-0064-IDN,1978,Natural,Hydrological,Flood,Kill,Indonesia,21,,8000,,8000,,25.51591532
1960-0015-PHL,1960,Natural,Geophysical,Earthquake,Kill,Philippines (the),32,,,,,,11.56821608
1960-0047-PHL,1960,Natural,Hydrological,Landslide,Kill,Philippines (the),40,,,,,,11.56821608
1960-0012-PHL,1960,Natural,Meteorological,Storm,Kill,Philippines (the),56,,,,,2000,11.56821608
1960-0019-PHL,1960,Natural,Meteorological,Storm,Kill,Philippines (the),234,,,,,,11.56821608
1960-0020-PHL,1960,Natural,Meteorological,Storm,Kill,Philippines (the),100,,50000,,50000,,11.56821608
1960-0028-PHL,1960,Natural,Meteorological,Storm,Kill,Philippines (the),150,,375000,,375000,,11.56821608
1960-0029-PHL,1960,Natural,Meteorological,Storm,Kill,Philippines (the),58,,,,,30000,11.56821608
1960-0053-PHL,1960,Natural,Meteorological,Storm,Kill,Philippines (the),33,,,,,,11.56821608
1962-0029-PHL,1962,Natural,Meteorological,Storm,Kill,Philippines (the),41,,,,,,11.83224153
1962-0032-PHL,1962,Natural,Meteorological,Storm,Kill,Philippines (the),156,,,,,,11.83224153
1962-0010-THA,1962,Natural,Meteorological,Storm,Kill,Thailand,769,,,,,19000,11.83224153
1963-0012-MMR,1963,Natural,Meteorological,Storm,Affect,Myanmar,,,,200,200,,11.97891616
1963-0004-MMR,1963,Natural,Biological,Epidemic,OFDA,Myanmar,,,,,,,11.97891616
1963-0017-PHL,1963,Natural,Meteorological,Storm,Affect,Philippines (the),1,,,2000,2000,,11.97891616
1964-0037-PHL,1964,Natural,Meteorological,Storm,Kill,Philippines (the),56,163,924125,,924288,8000,12.13211749
1964-0065-PHL,1964,Natural,Meteorological,Storm,Kill,Philippines (the),580,1258,300000,,301258,35000,12.13211749
1965-0060-MMR,1965,Natural,Meteorological,Storm,Kill,Myanmar,100,,500000,,500000,1000,12.32443267
1965-0063-MMR,1965,Natural,Hydrological,Flood,Kill,Myanmar,34,,,,,,12.32443267
1965-0066-MYS,1965,Natural,Hydrological,Flood,Affect,Malaysia,6,,300000,,300000,1000,12.32443267
1965-0058-PHL,1965,Natural,Geophysical,Volcanic activity,Kill,Philippines (the),355,785,50000,8000,58785,10000,12.32443267
1965-0042-PHL,1965,Natural,Meteorological,Storm,Kill,Philippines (the),37,,,,,,12.32443267
1966-0064-LAO,1966,Natural,Hydrological,Flood,Kill,Lao People's Democratic Republic (the),300,,70000,2000,72000,15300,12.69602817
1966-0091-PHL,1966,Natural,Meteorological,Storm,Kill,Philippines (the),18,,196000,90000,286000,1000,12.69602817
1966-0067-THA,1966,Natural,Hydrological,Flood,Affect,Thailand,6,200,200000,5000,205200,1000,12.69602817
1967-0036-MMR,1967,Natural,Meteorological,Storm,Kill,Myanmar,100,200,130000,,130200,5000,13.04806211
1967-0068-MMR,1967,Natural,Meteorological,Storm,Kill,Myanmar,178,,27319,,27319,3200,13.04806211
1967-0002-MYS,1967,Natural,Hydrological,Flood,Kill,Malaysia,50,,125000,15000,140000,25600,13.04806211
1967-0071-PHL,1967,Natural,Meteorological,Storm,Kill,Philippines (the),107,,137000,,137000,26500,13.04806211
1968-0061-PHL,1968,Natural,Geophysical,Earthquake,Kill,Philippines (the),271,261,,,261,5000,13.60544609
1968-0072-LAO,1968,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),2,,9000,600,9600,1280,13.60544609
1968-0049-MMR,1968,Natural,Meteorological,Storm,Kill,Myanmar,1070,,60000,30000,90000,2500,13.60544609
1968-0044-MYS,1968,Natural,Biological,Epidemic,OFDA,Malaysia,2,,5,,5,,13.60544609
1968-0019-MYS,1968,Natural,Meteorological,Storm,Kill,Malaysia,21,,10000,,10000,,13.60544609
1968-0041-PHL,1968,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),3,,45000,6000,51000,5000,13.60544609
1968-0065-PHL,1968,Natural,Meteorological,Storm,OFDA,Philippines (the),,,,,,,13.60544609
1968-0083-PHL,1968,Natural,Meteorological,Storm,Kill,Philippines (the),50,,187330,39313,226643,9600,13.60544609
1968-0024-PHL,1968,Natural,Hydrological,Flood,Kill,Philippines (the),29,,,,,,13.60544609
1969-0086-LAO,1969,Natural,Hydrological,Flood,OFDA,Lao People's Democratic Republic (the),,,,,,,14.34862782
1969-0115-PHL,1969,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,1700,,1700,,14.34862782
1969-0080-PHL,1969,Natural,Meteorological,Storm,Kill,Philippines (the),11,,,,,,14.34862782
1970-0046-MMR,1970,Natural,Hydrological,Flood,Kill,Myanmar,90,,,,,,15.18633546
1970-0070-MYS,1970,Natural,Hydrological,Flood,Kill,Malaysia,61,,243000,,243000,37000,15.18633546
1970-0004-PHL,1970,Natural,Geophysical,Earthquake,Kill,Philippines (the),14,200,,,200,,15.18633546
1970-0043-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),137,,78000,67200,145200,2353,15.18633546
1970-0056-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),1551,985,1214000,,1214985,85500,15.18633546
1970-0064-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),786,2075,430000,,432075,97656,15.18633546
1970-0076-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),42,,,,,,15.18633546
1970-0077-PHL,1970,Natural,Meteorological,Storm,Affect,Philippines (the),,,1326,,1326,598,15.18633546
1970-0078-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),575,1593,,,1593,12110,15.18633546
1970-0079-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),631,76,,,76,47397,15.18633546
1970-0080-PHL,1970,Natural,Meteorological,Storm,Kill,Philippines (the),80,248,17044,,17292,12785,15.18633546
1971-0048-LAO,1971,Natural,Hydrological,Flood,Kill,Lao People's Democratic Republic (the),14,,100000,15000,115000,200,15.83825463
1971-0026-PHL,1971,Natural,Meteorological,Storm,Kill,Philippines (the),95,,,,,700,15.83825463
1971-0036-PHL,1971,Natural,Meteorological,Storm,Kill,Philippines (the),57,3,,32500,32503,590,15.83825463
1971-0054-PHL,1971,Natural,Meteorological,Storm,Kill,Philippines (the),37,,,12000,12000,,15.83825463
1971-0055-PHL,1971,Natural,Meteorological,Storm,Kill,Philippines (the),57,8,,2000,2008,,15.83825463
1972-0015-PHL,1972,Natural,Meteorological,Storm,Kill,Philippines (the),204,28,,,28,23000,16.35652475
1972-0040-PHL,1972,Natural,Meteorological,Storm,Kill,Philippines (the),131,,385000,,385000,15000,16.35652475
1972-0064-PHL,1972,Natural,Meteorological,Storm,Kill,Philippines (the),100,650,80000,27000,107650,10000,16.35652475
1972-0042-PHL,1972,Natural,Hydrological,Flood,Kill,Philippines (the),653,,2400000,370647,2770647,220000,16.35652475
1973-0017-PHL,1973,Natural,Geophysical,Earthquake,Kill,Philippines (the),14,64,,,64,450,17.36698602
1973-0042-PHL,1973,Natural,Meteorological,Storm,Kill,Philippines (the),26,,,,,2000,17.36698602
1973-0044-PHL,1973,Natural,Meteorological,Storm,Kill,Philippines (the),50,,,45000,45000,5000,17.36698602
1973-0049-PHL,1973,Natural,Meteorological,Storm,Kill,Philippines (the),270,24,3400000,,3400024,,17.36698602
1973-0083-PHL,1973,Natural,Hydrological,Flood,Affect,Philippines (the),3,,5000,,5000,493,17.36698602
1974-0040-MMR,1974,Natural,Hydrological,Flood,Affect,Myanmar,,,1400000,,1400000,,19.28687447
1974-0029-PHL,1974,Natural,Meteorological,Storm,Kill,Philippines (the),106,,1367,,1367,1000,19.28687447
1974-0038-PHL,1974,Natural,Meteorological,Storm,Kill,Philippines (the),21,16,2400,140,2556,2000,19.28687447
1974-0051-PHL,1974,Natural,Meteorological,Storm,Kill,Philippines (the),26,40,7142,,7182,9200,19.28687447
1974-0052-PHL,1974,Natural,Meteorological,Storm,Kill,Philippines (the),13,9,7776,,7785,11600,19.28687447
1974-0054-PHL,1974,Natural,Meteorological,Storm,Kill,Philippines (the),23,50,55575,,55625,21000,19.28687447
1974-0056-PHL,1974,Natural,Meteorological,Storm,Affect,Philippines (the),3,2,22835,1301,24138,3200,19.28687447
1974-0058-PHL,1974,Natural,Meteorological,Storm,Affect,Philippines (the),11,,,5000,5000,7300,19.28687447
1974-0039-PHL,1974,Natural,Hydrological,Flood,Kill,Philippines (the),94,,1200000,,1200000,17800,19.28687447
1974-0079-PHL,1974,Natural,Hydrological,Flood,Affect,Philippines (the),,,1823,,1823,,19.28687447
1975-0139-MMR,1975,Natural,Meteorological,Storm,Kill,Myanmar,200,,,,,,21.05030752
1975-0077-PHL,1975,Natural,Meteorological,Storm,Kill,Philippines (the),39,8,4518,698,5224,2161,21.05030752
1975-0080-PHL,1975,Natural,Hydrological,Flood,Govern,Philippines (the),,,99,,99,,21.05030752
1975-0081-PHL,1975,Natural,Biological,Insect infestation,Govern,Philippines (the),,,,,,925,21.05030752
1975-0012-THA,1975,Natural,Hydrological,Flood,Kill,Thailand,239,93,3000000,,3000093,45000,21.05030752
